primary_key,ancient_toponym,province,role,from_year,to_year,note
Hanson2016_992,Roma,Italia,provincial capital,,,Italia was not a province; Rome its metropolis
Hanson2016_26,Corinthia,Achaea,provincial capital,,,seat of the governor of Achaea
Hanson2016_110,Alexandria (Aegyptus),Aegyptus,provincial capital,,,metropolis; prefect's seat via Alexandria
Hanson2016_172,Carthago,Africa Proconsularis,provincial capital,,,proconsul's seat
Hanson2016_224,Segusio,Alpes Cottiae,provincial capital,,,prefecture of the Cottian Alps
Hanson2016_226,Forum Claudii,Alpes Graiae et Poeninae,provincial capital,,,Octodurus/Martigny; prefecture seat
Hanson2016_227,Cemelenum,Alpes Maritimae,provincial capital,,,prefecture of the Maritime Alps
Hanson2016_231,Bostra,Arabia,provincial capital,AD 106,,legionary base and metropolis of Arabia
Hanson2016_276,Ephesus,Asia,provincial capital,,,first and largest metropolis of Asia
Hanson2016_336,Corduba,Baetica,provincial capital,,,conventus and proconsul's seat
Hanson2016_399,Londinium,Britannia,provincial capital,,,de facto provincial capital from the Flavian era
Hanson2016_420,Mazaca,Cappadocia et Galatia,provincial capital,,,Caesarea/Cappadocian metropolis (Ancyra for Galatia)
Hanson2016_463,Tarsus,Cilicia et Cyprus,provincial capital,,,metropolis of Cilicia
Hanson2016_463,Tarsus,Silicia,provincial capital,,,same city; alternate province spelling in the catalogue
Hanson2016_465,Caralis,Corsica et Sardinia,provincial capital,,,capital of Sardinia in the joint province
Hanson2016_482,Gortyna,Creta et Cyrenaica,provincial capital,,,capital of Crete in the joint province
Hanson2016_500,Sarmizegetusa,Dacia,provincial capital,AD 106,,Ulpia Traiana; colonia and metropolis of Dacia
Hanson2016_547,Salona,Dalmatia,provincial capital,,,governor's seat and largest city
Hanson2016_572,Mediolanum (Gallia Aquitania),Gallia Aquitania,provincial capital,,,Mediolanum Santonum (Saintes); early capital (Burdigala later)
Hanson2016_590,Durocortorum,Gallia Belgica,provincial capital,,,Reims; Treverorum is the late-antique metropolis
Hanson2016_620,Lugdunum,Gallia Lugdunensis,provincial capital,,,concordium of the Gauls met here
Hanson2016_651,Narbo Martius,Gallia Narbonensis,provincial capital,,,first Roman colony outside Italy; proconsul's seat
Hanson2016_660,Colonia Agrippinensis,Germania Inferior,provincial capital,,,Colonia Claudia Ara Agrippinensium (Cologne)
Hanson2016_673,Mogontiacum,Germania Superior,provincial capital,,,legionary base and governor's seat (Mainz)
Hanson2016_731,Tarraco,Hispania Tarraconensis,provincial capital,,,conventus and governor's seat
Hanson2016_1077,Augusta Emerita,Lusitania,provincial capital,,,veteran colony and provincial capital (Merida)
Hanson2016_1126,Patara,Lycia et Pamphylia,provincial capital,,,Lycian league metropolis and assize centre
Hanson2016_1162,Thessalonica,Macedonia,provincial capital,,,metropolis of Macedonia
Hanson2016_1175,Iol,Mauretania Caesariensis,provincial capital,,,Iol Caesarea (Cherchell); Juba II's royal capital
Hanson2016_1202,Tingis,Mauretania Tingitana,provincial capital,,,prefect's seat (Tangier)
Hanson2016_1214,Tomis,Moesia Inferior,provincial capital,,,governor's seat (Odessus and Marcianopolis rivals)
Hanson2016_1227,Viminacium (1),Moesia Superior,provincial capital,,,largest city and legionary base
Hanson2016_1237,Virunum,Noricum,provincial capital,,,municipium and imperial cult centre on the Magdalensberg plain
Hanson2016_1244,Cirta,Numidia,provincial capital,,,Constantine later; seat of the Numidian governor
Hanson2016_1267,Aquincum,Pannonia Inferior,provincial capital,,,legionary base and municipium (Obuda)
Hanson2016_1277,Carnuntum (1),Pannonia Superior,provincial capital,,,legionary base and metropolis (Petronell)
Hanson2016_1288,Augusta Vindelicum,Raetia,provincial capital,AD 120,,provincial capital moved here from Cambodunum
Hanson2016_1324,Antiochia (Syria),Syria,provincial capital,,,metropolis of Syria
Hanson2016_1355,Caesarea Maritima,Syria Palestina,provincial capital,,,prefect's seat after AD 70
Hanson2016_1381,Heraclea (Thracia),Thracia,provincial capital,,,Perinthus; renamed Heraclea; governor's seat
Hanson2016_379,Nicomedia,Bithynia et Pontus,provincial capital,,,metropolis of Bithynia
