primary_key,population,estimate_year,source
Hanson2016_992,923406,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_110,410535,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_172,102170,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_1320,83834,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_276,71587,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_1325,64408,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_14,58114,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_1022,49652,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_13,49453,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_315,47672,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_651,43289,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_652,41539,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_602,40666,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_620,39979,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_1176,37570,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_1162,37159,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_1375,35321,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_788,35017,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_429,33807,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_1044,28788,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_587,28211,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_1298,28211,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_1059,27923,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_1254,27923,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_572,26215,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_1340,25091,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_794,25091,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_1253,23429,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_302,22067,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_1072,20991,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_290,20725,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_673,19930,c. AD 165,Hanson & Ortman 2017 (JRSI)
Hanson2016_821,19667,c. AD 165,Hanson & Ortman 2017 (JRSI)
