primary_key,modern_city,modern_pop,modern_year
Hanson2016_731,Tarragona,135000,AD_2023
Hanson2016_336,Cordoba,325000,AD_2023
Hanson2016_693,Cartagena,215000,AD_2023
Hanson2016_690,Braga,193000,AD_2021
Hanson2016_1076,Coimbra,140000,AD_2021
Hanson2016_1065,Verona,257000,AD_2023
Hanson2016_1048,Brescia,197000,AD_2023
Hanson2016_1059,Padua,207000,AD_2023
Hanson2016_465,Cagliari,149000,AD_2021
Hanson2016_652,Nimes,148000,AD_2020
Hanson2016_589,Metz,116000,AD_2020
Hanson2016_679,Besancon,119000,AD_2020
Hanson2016_643,Grenoble,158000,AD_2020
Hanson2016_673,Mainz,217000,AD_2022
Hanson2016_1232,Salzburg,155000,AD_2023
Hanson2016_398,Lincoln,104000,AD_2021
Hanson2016_394,Gloucester,132000,AD_2021
Hanson2016_386,Colchester,120000,AD_2021
Hanson2016_1050,Ljubljana,295000,AD_2023
Hanson2016_1385,Plovdiv,346000,AD_2022
Hanson2016_1212,Varna,335000,AD_2022
Hanson2016_1214,Constanta,285000,AD_2021
Hanson2016_1221,Nis,260000,AD_2023
Hanson2016_1224,Skopje,425000,AD_2021
Hanson2016_1285,Pecs,145000,AD_2022
Hanson2016_496,Cluj-Napoca,286000,AD_2022
Hanson2016_76,Patras,195000,AD_2021
Hanson2016_30,Volos,140000,AD_2021
Hanson2016_315,Izmir,2900000,AD_2022
Hanson2016_417,Konya,1350000,AD_2022
Hanson2016_375,Samsun,650000,AD_2022
Hanson2016_463,Tarsus,285000,AD_2022
Hanson2016_379,Izmit,380000,AD_2022
Hanson2016_1324,Antakya,400000,AD_2022
Hanson2016_1380,Edirne,165000,AD_2022
Hanson2016_420,Kayseri,1100000,AD_2022
Hanson2016_1154,Sanliurfa,800000,AD_2022
Hanson2016_1347,Tyre,135000,AD_2016
Hanson2016_1345,Sidon,110000,AD_2016
Hanson2016_124,Luxor,500000,AD_2021
Hanson2016_116,El Fayoum,400000,AD_2023
Hanson2016_178,Sousse,270000,AD_2014
Hanson2016_1244,Constantine,440000,AD_2022
Hanson2016_1191,Setif,250000,AD_2022
Hanson2016_1200,Rabat,580000,AD_2014
Hanson2016_1202,Tangier,1000000,AD_2022
Hanson2016_547,Split,160000,AD_2021
Hanson2016_1153,Durres,175000,AD_2023
Hanson2016_525,Podgorica,185000,AD_2023
Hanson2016_1373,Stara Zagora,138000,AD_2022
Hanson2016_555,Rijeka,108000,AD_2021
Hanson2016_1226,Pristina,200000,AD_2023
Hanson2016_1371,Burgas,200000,AD_2022
Hanson2016_1259,Tebessa,200000,AD_2022
Hanson2016_1248,Batna,290000,AD_2022
Hanson2016_179,Bizerte,115000,AD_2022
Hanson2016_476,Benghazi,650000,AD_2014
Hanson2016_200,Sfax,330000,AD_2014
Hanson2016_138,Asyut,400000,AD_2023
Hanson2016_118,Zagazig,400000,AD_2023
