lon,lat,degree,betweenness
12.52787,41.57414,3,96321.0
12.53538,41.56589,3,93232.0
12.5526,41.54594,3,9462.0
12.57764,41.51785,3,10556.0
12.58009,41.51479,3,8233.0
12.62197,41.45206,5,12680.0
12.6328,41.53187,3,7960.0
12.63866,41.57697,3,15316.0
12.64907,41.61678,3,18250.0
12.65604,41.64681,5,80188.0
12.65421,41.65929,4,81627.0
12.65083,41.68287,4,79544.0
12.64914,41.6964,4,4183.0
12.62962,41.71487,4,5264.0
12.96541,41.75236,3,323004.0
13.00402,41.74329,4,322897.0
13.04177,41.74165,4,288292.0
13.1253,41.72973,4,290347.0
13.14034,41.7294,4,278842.0
12.68089,41.80877,3,12850.0
12.68268,41.78961,4,183692.0
12.63211,41.78366,3,5255.0
12.63712,41.77618,3,43596.0
12.79021,41.74653,3,17147.0
12.79628,41.75089,3,18931.0
12.79728,41.7665,3,170981.0
12.4368,41.6956,3,952.0
12.42249,41.71097,3,3592.0
12.42086,41.71342,3,813.0
12.43531,41.76629,3,22603.0
12.43286,41.7696,3,26125.0
12.45006,41.79068,4,106699.0
12.45797,41.81174,3,16079.0
12.45829,41.8131,3,18019.0
12.45967,41.81859,4,28806.0
12.46744,41.84193,3,3794.0
12.47653,41.84871,3,5868.0
12.479,41.86075,2,6868.0
12.44862,41.82791,3,8155.0
12.446,41.82563,3,6010.0
12.41345,41.79766,4,124624.0
12.39814,41.79518,3,154504.0
12.36138,41.78315,4,164559.0
12.27786,41.75304,3,291968.0
12.39007,41.68014,4,124166.0
12.43388,41.6463,3,116915.0
12.45437,41.62836,3,109646.0
12.50712,41.58183,3,101688.0
12.51146,41.57841,3,96360.0
12.59331,41.78359,3,333839.0
12.58894,41.78826,3,339333.0
7.37712,46.2166,3,16224.0
7.10686,46.11019,2,15685.0
12.58446,41.7928,3,339605.0
12.57009,41.80651,3,327360.0
12.5649,41.81068,4,349133.0
12.55425,41.82065,4,542543.0
12.50117,41.86991,2,3672.0
12.50093,41.87213,1,0.0
12.50578,41.87512,1,0.0
12.50857,41.87368,3,3672.0
12.55223,41.84958,4,774861.0
12.55765,41.84651,2,186656.0
12.58085,41.8334,5,207963.0
12.60223,41.86007,3,364334.0
12.5994,41.86099,3,369538.0
12.58104,41.86812,4,386461.0
12.5674,41.87213,4,384550.0
12.54843,41.87764,4,1154533.0
12.54069,41.89235,4,1448020.0
12.56053,41.89416,4,273956.0
12.57394,41.89426,4,269759.0
12.5951,41.89252,4,272329.0
12.56891,41.9273,3,151708.0
12.56786,41.91823,3,189909.0
12.56635,41.91762,3,186854.0
12.56087,41.91581,3,184130.0
12.53453,41.9076,3,1631184.0
12.53349,41.90756,3,1635761.0
12.53122,41.90756,3,1642360.0
12.52458,41.90695,3,1643937.0
12.5249,41.89817,3,2773.0
12.49735,41.9094,2,1687018.0
12.49682,41.9167,4,1772301.0
12.50918,41.93693,3,77029.0
12.50873,41.94221,3,73785.0
12.51836,41.99907,3,19494.0
12.52092,42.01084,2,15919.0
12.52769,42.0173,2,12365.0
12.46995,41.90409,1,0.0
12.47178,41.92323,3,1772442.0
12.46761,41.93654,3,1779509.0
12.40857,41.98356,4,1800611.0
12.38234,42.00529,5,1831212.0
12.31851,42.02565,4,22007.0
12.47134,41.88134,1,0.0
12.46885,41.87653,3,3672.0
12.42577,41.83575,4,3672.0
12.34442,41.8145,3,11258.0
12.3481,41.81902,3,10070.0
12.42105,41.85057,4,13708.0
12.34163,41.81342,3,10866.0
12.25837,41.77268,3,293869.0
12.46748,41.89869,1,0.0
12.45985,41.90217,3,6525.0
12.45867,41.90211,2,1636.0
12.44535,41.90111,2,2451.0
12.42797,41.89892,5,37421.0
12.411,41.8892,3,7826.0
12.33446,41.88333,4,23283.0
12.33207,41.8844,3,10099.0
12.264,41.90758,4,13877.0
12.23231,41.91896,3,12760.0
12.20521,41.91529,3,30038.0
12.20008,41.9185,3,34101.0
12.15268,41.93495,3,40482.0
12.13043,41.93616,3,41242.0
12.11375,41.94721,4,46879.0
12.09901,41.9568,4,337760.0
12.06429,41.97826,4,713874.0
12.43143,41.88987,4,28519.0
12.45873,41.88733,3,3672.0
12.46242,41.88814,1,0.0
12.51916,41.89174,2,0.0
12.45278,41.88858,2,7112.0
12.72188,41.95407,3,102430.0
12.76113,41.95308,3,90636.0
12.76471,41.95272,3,96599.0
12.6341,41.93864,4,140048.0
